Make	Model	Trim																																																																																				
212	T01																																																																																					
Abarth	695	595 Competizione	595 Scorpionearo	124 Spider																																																																																		
Acura	MDX	TLX	RDX	NSX	ILX																																																																																	
AION	ES																																																																																					
Alfa Romeo	147	156	159	166	4C	Brera	GT Coupe	Giulia	Giulia Quadrifoglio	Giulietta	Giulietta QV	Mito	Spider	Stelvio	Stelvio Quadrifoglio	Tonale																																																																						
Arcfox	Arcfox Alpha S																																																																																					
Aston Martin	DB11	DB11 Volante	DB12 Coupe	DB12 Volante	DB7	DB9	DB9 Volante	DBS	DBS Volante	DBX	One-77	Rapide	V12 Vantage	V12 Vantage Roadster	V8 Vantage	V8 Vantage Roadster	Valour	Vanquish	Vanquish Volante	Zagato																																																																		
Audi	A1	A3	A3 Sedan	A4	A5	A5 Cabriolet	A5 Coupe	A5 Sportback	A6	A6 Sportback e-tron	A7	A8	E-Tron	E-Tron GT quattro	E-Tron Sportback	Q2	Q3	Q3 Sportback	Q5	Q6 e-tron	Q7	Q8	Q8 E-Tron	Q8 E-Tron Sportback	R8	R8 Spyder	RS 3	RS 3 Sedan	RS 4	RS 5	RS 5 Sportback	RS 6	RS 7	RS Q3	RS Q8	RS e-Tron GT	S Q5	S Q7	S Q8	S3	S3 Sportback	S4	S5	S6	S6 Sportback e-tron	S7	S8	SQ8 E-Tron Sportback	TT																																					
Avatr	12	11																																																																																				
BAIC	BJ30	BJ40	U5 PLUS	X35	BJ60	X7	X55	BJ80	D20	A1 Hatchback	A5 Sedan	A1 Sedan																																																																										
Bentley	Continental GT	Bentayga	Flying Spur	Continental GTC	Mulsanne	Continental Flying Spur	Azure	Arnage	Brooklands	Continental																																																																												
Bestune	T77 Pro	B70	T90 	B70s	T99	T33																																																																																
BMW	1-Series	2-Series	2-Series Active Tourer	2-Series Convertible	2-Series Gran Coupe	3-Series	3-Series Convertible	3-Series Coupe	4-Series	4-Series Convertible	4-Series Gran Coupe	5-Series	5-Series GT	6-Series Cabriolet	6-Series Coupe	6-Series Gran Coupe	6-Series Gran Turismo	7-Series	8-Series	8-Series Convertible	8-Series Gran Coupe	M2	M3	M3 Convertible	M3 Coupe	M4	M4 Convertible	M5	M6 Cabriolet	M6 Coupe	M6 Gran Coupe	M8	M8 Convertible	M8 Gran Coupe	X1	X2	X3	X4	X5	X5 M	X6	X6 M	X7	XM	Z4	i5	i7	i8	iX	iX1																																				
Borgward	BX5	BX7																																																																																				
Brilliance	FRV CROSS	FRV	V5	H530	FSV																																																																																	
Bugatti	TOURBILLON	CHIRON	DIVO	VEYRON	VEYRON GRAND SPORT																																																																																	
BYD	Song Plus	Shark 6	Qin Plus	Sealion 7	Seal	Seal 7	Han	Atto 3	F3	Song Pro	Qin Pro	S6	F6	F5	F7																																																																							
Cadillac	ATS	ATS Coupe	ATS-V	ATS-V Coupe	BLS	CT4	CT4-V	CT5	CT5-V	CT6	CTS	CTS Coupe	CTS-V	CTS-V Coupe	DTS	Escalade	Escalade-V	Lyriq	Optiq	SLS	SRX	STS	XLR	XT4	XT5	XT6	XTS																																																											
Caterham	Seven																																																																																					
Changan	Eado	CS35 Plus	Alsvin	Uni-K	CS95	Uni-T	CS75 Plus	Uni-V	CS85	CS75	CS35																																																																											
Chery	A11 Windcloud	Arrizo 3	Arrizo 5	Arrizo 6	Arrizo 7	Arrizo 8	B11 Oriental Son	E5	E8	S11 QQ	T11 Tiggo	Tiggo 3	Tiggo 4	Tiggo 5	Tiggo 7	Tiggo 7 Pro Max	Tiggo 8	Tiggo 8 Pro Max	Tiggo 8 Pro Plug-in Hybrid	Tiggo 9	V5 Crossover																																																																	
